signalname,Journal,Authors,Year,theory,LongDescription,misp_count,risk_count,misprice_risk_ratio,risk_mispricing_ratio,quote,liquidity,LiquidityNotes,Notes,post_2004,author_merge,Keep,word_count
realestate,RFS,Tuzel,2010,risk,Real estate holdings,4,87,0.0568181818181818,17.6,"I develop a general equilibrium production economy where firms use two factors: real estate and other capital. Investment is subject to asymmetric adjustment costs. Because real estate depreciates slowly, firms with high real estate holdings are more vulnerable to bad productivity shocks and hence are riskier and have higher expected returns.",0,"","",TRUE,Tuzel,TRUE,8273
retConglomerate,JFE,Cohen and Lou,2012,mispricing,Conglomerate return,102,11,8.58333333333333,0.116504854368932,"Consistent with processing complexity driving the return relation, we further
show that the more complicated the firm, the more pronounced the return predict-
ability.",0,"","",TRUE,Cohen Lou,TRUE,7476
roaq,JAE,"Balakrishnan, Bartov and Faurel",2010,mispricing,Return on assets (qtrly),126,29,4.23333333333333,0.236220472440945,We document a market failure to fully respond to loss/profit quarterly announcements.,0,"","",TRUE,Balakrishnan Bartov Faurel,TRUE,8944
sfe,AR,"Elgers, Lo and Pfeiffer",2001,mispricing,Earnings Forecast to price,101,5,17,0.0588235294117647,"This delayed price response is more pronounced for firms with relatively low analyst coverage, consistent with the premise that low financial analyst coverage is associated with a variety of factors that impede the information efficiency of the security market.",0,"","",FALSE,Elgers Lo Pfeiffer,TRUE,5103
sinAlgo,JFE,Hong and Kacperczyk,2009,risk,Sin Stock (selection criteria),28,25,1.11538461538462,0.896551724137927,"Sin stocks also have higher expected returns than otherwise comparable stocks, consistent with them being neglected by norm-constrained investors and facing greater litigation risk heightened by social norms

In this paper, we provide evidence of significant effects of social norms on markets by studying the investing environment of â€˜â€˜sinâ€™â€™ stocks",0,"","Could be mispricing, since they cite Merton (1987).",TRUE,Hong Kacperczyk,TRUE,9220
skew1,JFQA,"Xing, Zhang and Zhao",2010,mispricing,Volatility smirk near the money,19,32,0.606060606060606,1.65,"The results are consistent with the notion that informed traders with negative
news prefer to trade out-of-the-money put options, and that the equity market is slow in
incorporating the information embedded in volatility smirks.",0,"","",TRUE,Xing Zhang Zhao,TRUE,6357
std_turn,JFE,"Chordia, Subra, Anshuman",2001,agnostic,Share turnover volatility,57,11,4.83333333333333,0.206896551724138,"However, our
findings do not lend themselves to an obvious explanation, so that further
investigation of our results would appear to be a reasonable topic for future
research.",0,"","",FALSE,Chordia Subra Anshuman,TRUE,5066
tang,JF,Hahn and Lee,2009,risk,Tangibility,2,37,0.0789473684210526,12.6666666666667,"In the language of asset pricing, higher debt capacity firms have higher exposure to the risk associated with changes in the availability of internal and external funds for investment. Consequently, if such risk is priced by the market, then we should expect that high debt capacity firms will earn higher returns on average",0,"","",TRUE,Hahn Lee,TRUE,6873
zerotrade,JFE,Liu,2006,risk,Days with zero trades,558,181,3.07142857142857,0.325581395348837,"The success of the liquidity-augmented two-factor model suggests that liquidity
risk is an especially promising direction in this continued search.",1,Exposure to liquidity risk,"",TRUE,Liu,TRUE,10376
zerotradeAlt1,JFE,Liu,2006,risk,Days with zero trades,558,181,3.07142857142857,0.325581395348837,"The success of the liquidity-augmented two-factor model suggests that liquidity
risk is an especially promising direction in this continued search.",1,Exposure to liquidity risk,"",TRUE,Liu,TRUE,10376
zerotradeAlt12,JFE,Liu,2006,risk,Days with zero trades,558,181,3.07142857142857,0.325581395348837,"The success of the liquidity-augmented two-factor model suggests that liquidity
risk is an especially promising direction in this continued search.",1,Exposure to liquidity risk,"",TRUE,Liu,TRUE,10376
